daynumber,month,day,PM,HUMI,TEMP
81,3,22,47,10,12
82,3,23,41,41,4
83,3,24,60,21,9
84,3,25,115,52,8
85,3,26,99,53,9
86,3,27,56,41,14
87,3,28,87,41,15
88,3,29,40,46,11
89,3,30,138,54,14
90,3,31,165,59,17
91,4,1,72,87,7
92,4,2,40,81,7
93,4,3,15,70,9
94,4,4,34,61,9
95,4,5,121,62,12
96,4,6,20,28,6
97,4,7,48,41,5
98,4,8,72,34,9
99,4,9,122,65,7
100,4,10,239,76,11
101,4,11,116,58,15
102,4,12,11,93,8
103,4,13,16,48,6
104,4,14,66,75,9
105,4,15,62,47,14
106,4,16,128,12,17
107,4,17,45,23,16
108,4,18,129,47,16
109,4,19,109,67,17
110,4,20,87,76,11
111,4,21,62,45,17
112,4,22,48,46,11
113,4,23,54,39,18
114,4,24,78,41,14
115,4,25,71,51,15
116,4,26,103,46,24
117,4,27,61,49,22
118,4,28,40,72,17
119,4,29,111,72,18
120,4,30,97,68,21
121,5,1,260,64,21
122,5,2,32,93,14
123,5,3,112,82,17
124,5,4,12,17,16
125,5,5,42,39,18
126,5,6,19,17,18
127,5,7,59,25,16
128,5,8,20,31,17
129,5,9,69,62,15
130,5,10,43,71,12
131,5,11,46,87,10
132,5,12,10,44,15
133,5,13,106,81,13
134,5,14,61,23,23
135,5,15,11,28,21
136,5,16,74,63,16
137,5,17,73,56,21
138,5,18,189,93,20
139,5,19,39,10,20
140,5,20,12,30,20
141,5,21,26,28,23
142,5,22,36,42,20
143,5,23,83,56,21
144,5,24,127,64,22
145,5,25,72,53,24
146,5,26,75,47,26
147,5,27,72,47,26
148,5,28,116,57,24
149,5,29,72,53,24
150,5,30,106,82,19
151,5,31,48,60,21
152,6,1,80,51,28
153,6,2,27,17,29
154,6,3,34,49,22
155,6,4,46,36,25
156,6,5,31,93,18
157,6,6,38,73,21
158,6,7,12,82,17
159,6,8,12,45,20
160,6,9,58,64,21
161,6,10,30,77,20
162,6,11,56,100,16
163,6,12,24,72,18
164,6,13,9,49,23
165,6,14,33,88,19
166,6,15,64,73,22
167,6,16,107,64,24
168,6,17,46,83,22
169,6,18,61,73,23
170,6,19,8,26,27
171,6,20,76,88,18
172,6,21,35,57,24
173,6,22,53,57,24
174,6,23,145,61,25
175,6,24,75,57,27
176,6,25,80,73,23
177,6,26,94,78,24
178,6,27,20,88,22
179,6,28,89,73,25
180,6,29,142,78,25
181,6,30,21,82,20
182,7,1,28,82,19
183,7,2,5,49,23
184,7,3,27,41,24
185,7,4,21,49,22
186,7,5,53,88,18
187,7,6,51,68,23
188,7,7,47,69,24
189,7,8,75,61,25
190,7,9,80,68,23
191,7,10,20,53,25
192,7,11,63,65,26
193,7,12,80,69,27
194,7,13,75,83,25
195,7,14,64,45,30
196,7,15,19,47,27
197,7,16,41,54,28
198,7,17,37,83,23
199,7,18,82,88,24
200,7,19,50,94,22
201,7,20,82,94,23
202,7,21,11,83,25
203,7,22,49,94,23
204,7,23,30,88,27
205,7,24,51,88,24
206,7,25,74,88,23
207,7,26,112,78,28
208,7,27,80,69,27
209,7,28,40,100,23
210,7,29,81,88,26
211,7,30,12,88,25
212,7,31,14,88,23
213,8,1,66,88,25
214,8,2,45,94,24
215,8,3,79,88,26
216,8,4,5,77,20
217,8,5,63,78,25
218,8,6,16,93,20
219,8,7,94,83,25
220,8,8,34,93,20
221,8,9,93,88,24
222,8,10,79,88,25
223,8,11,117,83,26
224,8,12,97,78,26
225,8,13,115,74,27
226,8,14,95,69,28
227,8,15,57,78,23
228,8,16,22,73,23
229,8,17,65,65,27
230,8,18,81,73,24
231,8,19,41,73,23
232,8,20,23,88,20
233,8,21,16,60,23
234,8,22,17,78,23
235,8,23,53,82,21
236,8,24,22,93,20
237,8,25,27,94,21
238,8,26,7,78,23
239,8,27,16,83,22
240,8,28,37,88,21
241,8,29,28,73,22
242,8,30,27,73,22
243,8,31,49,83,22
244,9,1,9,93,19
245,9,2,8,88,20
246,9,3,35,93,20
247,9,4,51,83,22
248,9,5,18,93,19
249,9,6,13,88,18
250,9,7,32,93,17
251,9,8,43,68,21
252,9,9,92,88,20
253,9,10,8,64,20
254,9,11,13,93,14
255,9,12,5,59,17
256,9,13,18,67,16
257,9,14,42,87,16
258,9,15,74,93,15
259,9,16,196,87,16
260,9,17,158,88,18
261,9,18,201,88,21
262,9,19,24,82,16
263,9,20,86,77,18
264,9,21,49,88,17
265,9,22,112,77,19
266,9,23,24,100,15
267,9,24,61,88,18
268,9,25,20,93,16
269,9,26,45,81,12
270,9,27,50,82,16
271,9,28,17,72,20
272,9,29,70,93,14
273,9,30,21,93,14
274,10,1,38,93,15
275,10,2,24,87,10
276,10,3,24,81,13
277,10,4,68,82,15
278,10,5,170,87,15
279,10,6,345,93,15
280,10,7,263,88,18
281,10,8,3,15,19
282,10,9,37,30,14
283,10,10,4,34,11
284,10,11,6,30,14
285,10,12,6,57,10
286,10,13,34,81,9
287,10,14,137,62,14
288,10,15,116,87,12
289,10,16,157,93,12
290,10,17,308,100,12
291,10,18,260,87,12
292,10,19,19,66,11
293,10,20,133,93,9
294,10,21,56,87,11
295,10,22,81,93,10
296,10,23,38,93,9
297,10,24,86,100,9
298,10,25,34,71,11
299,10,26,34,93,9
300,10,27,3,60,6
301,10,28,11,45,7
302,10,29,10,33,7
303,10,30,7,33,6
304,10,31,77,80,2
305,11,1,87,80,4
306,11,2,141,86,3
307,11,3,155,81,6
308,11,4,185,87,7
309,11,5,212,76,11
310,11,6,17,69,4
311,11,7,8,92,2
312,11,8,26,76,4
313,11,9,84,96,1
314,11,10,123,6,5
315,11,11,161,68,6
316,11,12,132,47,7
317,11,13,206,46,7
318,11,14,248,57,7
319,11,15,276,68,7
320,11,16,48,26,4
321,11,17,72,24,5
322,11,18,52,25,5
323,11,19,85,36,1
324,11,20,63,97,2
325,11,21,35,100,0
326,11,22,78,86,-4
327,11,23,33,100,-5
328,11,24,20,57,-8
329,11,25,69,92,-9
330,11,26,8,48,-9
331,11,27,150,85,-4
332,11,28,320,79,-1
333,11,29,285,86,-3
334,11,30,139,92,-1
335,12,1,505,92,-1
336,12,2,12,92,0
337,12,3,6,31,-1
338,12,4,17,39,2
339,12,5,111,43,-3
340,12,6,72,79,0
341,12,7,205,80,-2
342,12,8,216,92,1
343,12,9,270,93,1
344,12,10,246,93,2
345,12,11,18,43,-3
346,12,12,136,86,-4
347,12,13,331,92,2
348,12,14,223,80,1
349,12,15,7,40,-2
350,12,16,7,36,-4
351,12,17,15,42,-6
352,12,18,152,73,-2
353,12,19,119,58,-3
354,12,20,256,92,-5
355,12,21,379,92,-4
356,12,22,383,85,-2
357,12,23,360,92,0
358,12,24,75,63,-5
359,12,25,512,100,-3
360,12,26,499,92,-4
361,12,27,32,62,-9
362,12,28,120,78,-5
363,12,29,294,79,-6
364,12,30,536,92,-5
365,12,31,28,62,
